0 11 22
1 11 16
1 13 22
2 13 28
2 14 22
2 19 28
3 16 28
4 20 22
5 11 16
6 8 16
6 12 28
6 13 16
7 5 22
8 15 22
8 17 22
8 19 28
9 4 16
9 5 10
9 9 16
10 2 16
10 8 16
10 23 22
11 0 10
11 2 10
11 9 16
11 9 22
11 10 16
11 12 16
11 15 16
11 17 22
11 18 22
12 3 10
12 11 22
12 17 16
12 19 16
12 25 22
13 10 10
13 11 16
13 13 16
13 19 22
13 20 16
13 21 16
13 21 28
13 24 22
14 6 10
14 9 22
14 10 22
14 13 16
14 17 22
14 21 22
15 21 22
15 23 22
15 25 22
16 6 10
16 7 10
17 7 10
17 8 16
17 9 4
17 10 10
17 12 10
17 15 22
17 16 16
17 22 16
17 25 16
18 13 16
18 20 10
19 11 16
19 13 10
19 14 10
19 14 16
19 15 10
19 21 16
20 11 4
20 16 10
22 16 10
22 14 10
22 15 10
23 16 4
23 16 10
23 18 4
23 20 16
23 25 16
23 27 10
24 18 16
24 19 10
24 20 10
24 23 16
25 20 10
25 21 10
26 21 10
26 21 16
26 24 4
26 28 16
27 21 4
27 21 10
28 24 4
28 24 8
29 27 10
29 27 11
29 27 21
